<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.07.09	08:45:00	73.506	73.550	73.500	73.521	121	0	2
2025.07.09	09:00:00	73.518	73.551	73.482	73.513	116	0	2
2025.07.09	09:15:00	73.509	73.546	73.509	73.543	90	0	2
2025.07.09	09:30:00	73.546	73.566	73.529	73.556	73	0	2
2025.07.09	09:45:00	73.553	73.567	73.538	73.543	81	0	2
2025.07.09	10:00:00	73.546	73.558	73.507	73.547	108	0	2
2025.07.09	10:15:00	73.544	73.578	73.518	73.561	123	0	2
2025.07.09	10:30:00	73.558	73.621	73.553	73.608	78	0	2
2025.07.09	10:45:00	73.611	73.624	73.604	73.620	58	0	2
2025.07.09	11:00:00	73.616	73.644	73.612	73.621	74	0	2
2025.07.09	11:15:00	73.624	73.632	73.597	73.600	63	0	2
2025.07.09	11:30:00	73.597	73.618	73.593	73.601	55	0	2
2025.07.09	11:45:00	73.598	73.667	73.590	73.652	111	0	2
2025.07.09	12:00:00	73.649	73.653	73.613	73.616	120	0	2
2025.07.09	12:15:00	73.613	73.613	73.536	73.581	176	0	2
2025.07.09	12:30:00	73.578	73.604	73.554	73.569	111	0	2
2025.07.09	12:45:00	73.573	73.573	73.457	73.483	152	0	2
2025.07.09	13:00:00	73.479	73.508	73.440	73.452	165	0	2
2025.07.09	13:15:00	73.456	73.514	73.420	73.507	140	0	2
2025.07.09	13:30:00	73.510	73.576	73.496	73.566	174	0	2
2025.07.09	13:45:00	73.563	73.611	73.563	73.605	151	0	2
2025.07.09	14:00:00	73.601	73.617	73.483	73.493	191	0	2
2025.07.09	14:15:00	73.489	73.516	73.438	73.516	220	0	2
2025.07.09	14:30:00	73.519	73.571	73.519	73.544	130	0	2
2025.07.09	14:45:00	73.547	73.622	73.547	73.593	157	0	2
2025.07.09	15:00:00	73.590	73.599	73.558	73.599	124	0	2
2025.07.09	15:15:00	73.603	73.626	73.584	73.619	85	0	2
2025.07.09	15:30:00	73.616	73.624	73.591	73.609	83	0	2
