<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.09	20:00:00	1.14223	1.14268	1.14181	1.14190	754	0	9
2025.06.09	21:00:00	1.14193	1.14208	1.14163	1.14208	392	0	12
2025.06.09	22:00:00	1.14209	1.14233	1.14196	1.14227	518	0	9
2025.06.09	23:00:00	1.14227	1.14282	1.14196	1.14259	686	0	9
2025.06.10	00:00:00	1.14258	1.14353	1.14216	1.14241	2075	0	9
2025.06.10	01:00:00	1.14242	1.14278	1.13947	1.13965	2835	0	9
2025.06.10	02:00:00	1.13963	1.14001	1.13856	1.13987	2902	0	9
2025.06.10	03:00:00	1.13986	1.14046	1.13912	1.14026	1954	0	9
2025.06.10	04:00:00	1.14027	1.14038	1.13912	1.13992	1537	0	9
2025.06.10	05:00:00	1.13989	1.14133	1.13974	1.14049	2992	0	9
2025.06.10	06:00:00	1.14051	1.14143	1.13917	1.13939	4197	0	9
2025.06.10	07:00:00	1.13938	1.13994	1.13727	1.13917	4362	0	9
2025.06.10	08:00:00	1.13918	1.14109	1.13909	1.14077	3429	0	9
2025.06.10	09:00:00	1.14077	1.14182	1.14029	1.14161	2748	0	9
2025.06.10	10:00:00	1.14163	1.14249	1.14108	1.14231	2582	0	9
2025.06.10	11:00:00	1.14229	1.14337	1.14189	1.14288	2890	0	9
2025.06.10	12:00:00	1.14290	1.14401	1.14244	1.14316	3100	0	9
2025.06.10	13:00:00	1.14315	1.14474	1.14300	1.14423	3911	0	9
2025.06.10	14:00:00	1.14424	1.14445	1.14200	1.14254	3418	0	9
2025.06.10	15:00:00	1.14251	1.14275	1.14153	1.14224	2943	0	9
2025.06.10	16:00:00	1.14224	1.14261	1.14156	1.14232	1967	0	9
2025.06.10	17:00:00	1.14234	1.14285	1.14167	1.14227	1519	0	9
2025.06.10	18:00:00	1.14227	1.14249	1.14162	1.14200	1649	0	9
2025.06.10	19:00:00	1.14198	1.14361	1.14186	1.14259	1738	0	9
2025.06.10	20:00:00	1.14258	1.14294	1.14189	1.14235	1017	0	9
2025.06.10	21:00:00	1.14234	1.14242	1.14192	1.14233	697	0	23
2025.06.10	22:00:00	1.14237	1.14290	1.14228	1.14282	704	0	9
2025.06.10	23:00:00	1.14280	1.14391	1.14218	1.14370	1961	0	9
2025.06.11	00:00:00	1.14371	1.14383	1.14201	1.14208	3064	0	9
2025.06.11	01:00:00	1.14208	1.14264	1.14059	1.14083	2424	0	9
2025.06.11	02:00:00	1.14084	1.14174	1.14069	1.14150	1885	0	9
2025.06.11	03:00:00	1.14149	1.14173	1.14110	1.14157	1338	0	9
2025.06.11	04:00:00	1.14158	1.14176	1.14117	1.14151	1323	0	9
2025.06.11	05:00:00	1.14152	1.14225	1.14130	1.14219	1356	0	9
2025.06.11	06:00:00	1.14220	1.14231	1.14068	1.14097	2669	0	9
